,title,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
73,STARWARS Empireat War GoldPack,51875837,english,If you want a Star Wars strategy game this is the game you should be playing.,1561807176,1561807176,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,734,2,7655,0,2243,1584847248
74,STARWARS Empireat War GoldPack,51875029,english,"Best star wars game period, wish they're remaster it or remake it",1561807102,1561807102,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,160,25,268,3,193,1601820913
75,STARWARS Empireat War GoldPack,2283587,english,"Great strategy game and from Star Wars? It is a must have. Tactical battles on planets, in space and strategy game about whole galaxy. Everything is good and fun to play in this game and graphic is still decent.",1374571072,1561806761,TRUE,2,0,0.505173206,0,TRUE,FALSE,FALSE,7.65612E+16,1342,7,1887,0,449,1572389413
76,STARWARS Empireat War GoldPack,51843159,english,"One of the best and iconic futuristic stratergy games out there, especially with modern day mods",1561804295,1561804295,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,219,3,11123,0,10213,1589578159
77,STARWARS Empireat War GoldPack,51842092,english,"A great game, Thats due for a remake although if that happens the devs will mess it up as normal :)",1561804204,1561804204,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,82,2,55380,0,40304,1588690038
78,STARWARS Empireat War GoldPack,51830461,english,great with mods,1561803227,1561803227,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,51,1,5620,0,4095,1598191530
79,STARWARS Empireat War GoldPack,51824799,english,great game fun for any fan of star wars,1561802767,1561802767,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,317,15,12376,0,3522,1593210274
80,STARWARS Empireat War GoldPack,51824452,english,"I love this game. I've been playing it since it first released and bought the steam version after my original disc version stopped working. 

For me this game is my go-to game if I have the need to enjoy me some Star Wars. And with the amazing modding community and dozens of highly detailed and well crafted mods.. well, let's just say that I'll probably sink a hell lot of more time into this classic.",1561802738,1561802738,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,311,2,8889,0,8884,1579192425
81,STARWARS Empireat War GoldPack,51779784,english,One of my favorite games from my childhood and the modding comunity on this game is also awsome,1561798857,1561798857,TRUE,1,0,0.521739125,0,TRUE,FALSE,FALSE,7.65612E+16,156,3,5607,0,5606,1587000731
82,STARWARS Empireat War GoldPack,51731646,english,one of the best games i have ever played,1561793387,1561793387,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.65612E+16,74,1,5904,0,1585,1600545282
