date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
2017-11-27,0,0,225,False,Recommended,this game is great a simplistic concept with a mechanic deep enough to refine the skillset to a high level. fantastic work,Rocket League®
2018-04-06,0,0,112,False,Recommended,Iz good if u good if u not good it not good,Rocket League®
2018-04-06,0,0,1007,False,Recommended,Product received for free. Love this game! very fun to play with friends and grind ranks on! D,Rocket League®
2018-04-06,0,0,291,False,Recommended,if you wanted rockets and cars. this game delivers,Rocket League®
2018-04-06,0,0,38,False,Recommended,Great Game in General,Rocket League®
2016-08-02,0,0,1427,False,Recommended,Just hit 260 hours on PC at rank 40. I'm rank 49 on PlayStation 4 throwing me close to 600 hours in this game total after just one year.ItsaMastapiece!,Rocket League®
2018-04-06,0,0,141,False,Recommended,Review in HaikuFlying rocket carsChasing a huge soccer ballWhat's there not to love?,Rocket League®
2017-03-22,0,0,967,False,Recommended,It's a very nice game guys i recommend u to buy it. is not just a football game with cars .it is a game that needs teamwork and communication and if you have friends to play with you will love this game.,Rocket League®
2018-03-03,0,0,577,False,Recommended,FeelsBackflipMan,Rocket League®
2018-03-03,0,0,346,False,Recommended,Really love the game! Play it with my noob friend CartoonX all the time. Make sure to tell him to git gud! Enjoy!,Rocket League®
2015-07-20,0,0,14,False,Recommended,This makes up for all those times i never got the ball during recess in grade school,Rocket League®
2016-01-25,0,0,599,False,Not Recommended,UPDATED REVIEW F%*K THIS GAMEThe matchmaking is a complete joke!It has this auto ban feature that even if you and your friends are playing you'll get banned for saying ANYTHING offensive to ANYONE!Not based on a player complaining just built into the system.I am done with crap like that cannot support it anymore!5/10,Rocket League®
2016-11-23,0,0,1329,False,Not Recommended,Worst matchmaking ever...,Rocket League®
2018-03-03,0,0,7,False,Recommended,Just a fun way to waste time got decent cosmetics you can personalize your car to be as unique as you wish. I don't see myself playing for extended periods of time but short bursts here and there are great.,Rocket League®
2018-03-03,0,0,65,False,Recommended,gg ez,Rocket League®
2018-03-03,0,0,82,False,Recommended,Love playing it with friends via local splitscreen. Definitely worth the price and has a fare few game modes/stadiums these days.,Rocket League®
